Date,Close
11/1/2017,9.66
11/2/2017,9.73
11/3/2017,9.66
11/6/2017,9.59
11/7/2017,9.52
11/8/2017,9.31
11/9/2017,9.1
11/10/2017,8.96
11/13/2017,9.52
11/14/2017,7.7
11/15/2017,7.14
11/16/2017,7.49
11/17/2017,7.7
11/20/2017,7.56
11/21/2017,7.21
11/22/2017,7.14
11/24/2017,6.78
11/27/2017,6.96
11/28/2017,7
11/29/2017,7.07
11/30/2017,7.14
12/1/2017,6.96
12/4/2017,6.45
12/5/2017,6.6
12/6/2017,6.72
12/7/2017,7
12/8/2017,6.96
12/11/2017,7
12/12/2017,7.14
12/13/2017,7.07
12/14/2017,7.14
12/15/2017,7.21
12/18/2017,7.07
12/19/2017,7.21
12/20/2017,7.35
12/21/2017,7.21
12/22/2017,7.21
12/26/2017,7.28
12/27/2017,8.3
12/28/2017,7.7
12/29/2017,7.35
1/2/2018,7.77
1/3/2018,7.7
1/4/2018,7.42
1/5/2018,7.63
1/8/2018,7.98
1/9/2018,7.63
1/10/2018,7.63
1/11/2018,7.7
1/12/2018,7.56
1/16/2018,7.84
1/17/2018,7.77
1/18/2018,7.7
1/19/2018,7.7
1/22/2018,7.84
1/23/2018,8.68
1/24/2018,8.12
1/25/2018,8.12
1/26/2018,7.98
1/29/2018,7.91
1/30/2018,7.91
1/31/2018,7.77
2/1/2018,7.77
2/2/2018,7.66
2/5/2018,7.21
2/6/2018,7.14
2/7/2018,7.56
2/8/2018,7.28
2/9/2018,7.35
2/12/2018,7.35
2/13/2018,7.28
2/14/2018,7.63
2/15/2018,7.7
2/16/2018,7.28
2/20/2018,7.14
2/21/2018,7.42
2/22/2018,7.28
2/23/2018,7.35
2/26/2018,7.42
2/27/2018,7.44
2/28/2018,7.28
3/1/2018,7.42
3/2/2018,7.42
3/5/2018,7.56
3/6/2018,7.21
3/7/2018,7.21
3/8/2018,7.07
3/9/2018,7.07
3/12/2018,7.28
3/13/2018,7.35
3/14/2018,7.21
3/15/2018,6.79
3/16/2018,7
3/19/2018,7.19
3/20/2018,7.15
3/21/2018,7.21
3/22/2018,7.35
3/23/2018,7.21
3/26/2018,6.94
3/27/2018,7.07
3/28/2018,6.3
3/29/2018,6.65
4/2/2018,6.92
4/3/2018,6.65
4/4/2018,6.86
4/5/2018,6.79
4/6/2018,6.92
4/9/2018,6.86
4/10/2018,6.79
4/11/2018,6.86
4/12/2018,6.58
4/13/2018,6.79
4/16/2018,6.62
4/17/2018,6.58
4/18/2018,6.65
4/19/2018,6.62
4/20/2018,6.57
4/23/2018,6.58
4/24/2018,6.65
4/25/2018,6.51
4/26/2018,6.51
4/27/2018,6.93
4/30/2018,6.59
5/1/2018,6.58
5/2/2018,6.58
5/3/2018,6.45
5/4/2018,7.07
5/7/2018,7.42
5/8/2018,7.49
5/9/2018,7.98
5/10/2018,8.33
5/11/2018,8.4
5/14/2018,8.68
5/15/2018,8.75
5/16/2018,8.05
5/17/2018,8.17
5/18/2018,8.19
5/21/2018,7.77
5/22/2018,7.91
5/23/2018,7.84
5/24/2018,7.77
5/25/2018,7.98
5/29/2018,7.84
5/30/2018,7.63
5/31/2018,7.98
6/1/2018,8.12
6/4/2018,8.05
6/5/2018,8.33
6/6/2018,7.77
6/7/2018,7.98
6/8/2018,7.98
6/11/2018,8.05
6/12/2018,7.77
6/13/2018,7.77
6/14/2018,7.98
6/15/2018,7.49
6/18/2018,7.56
6/19/2018,7.35
6/20/2018,7.49
6/21/2018,7.53
6/22/2018,7
6/25/2018,7.21
6/26/2018,7
6/27/2018,7.21
6/28/2018,7.01
6/29/2018,7.84
7/2/2018,7.56
7/3/2018,7.53
7/5/2018,7.49
7/6/2018,7.56
7/9/2018,7.49
7/10/2018,7.77
7/11/2018,7.49
7/12/2018,7.42
7/13/2018,7.49
7/16/2018,7.42
7/17/2018,7.56
7/18/2018,7.42
7/19/2018,7.42
7/20/2018,7.42
7/23/2018,7.35
7/24/2018,7
7/25/2018,7.14
7/26/2018,6.87
7/27/2018,6.51
7/30/2018,7
7/31/2018,6.8
8/1/2018,6.72
8/2/2018,6.84
8/3/2018,6.93
8/6/2018,6.86
8/7/2018,7
8/8/2018,6.88
8/9/2018,6.3
8/10/2018,6.23
8/13/2018,6.09
8/14/2018,4.73
8/15/2018,4.9
8/16/2018,4.97
8/17/2018,5.04
8/20/2018,4.69
8/21/2018,4.76
8/22/2018,4.83
8/23/2018,5.07
8/24/2018,4.85
8/27/2018,4.55
8/28/2018,4.66
8/29/2018,4.51
8/30/2018,4.41
8/31/2018,4.82
9/4/2018,4.62
9/5/2018,4.48
